FACILITY_ID,latitude,longitude,quantity
1005138,35.9306,-79.2941,122303
1002236,35.00019,-80.16765,189163
1001943,35.60606,-81.30738,64723
1001775,35.72558,-82.63552,53770
1003099,35.345247,-80.682062,200398
1005594,35.35115,-80.19809,47651
1006978,36.1089,-79.72148,337242
1005825,35.300926,-81.545135,139203
1003035,34.943667,-76.948346,86127
1001627,35.061773,-78.872083,65054
1004204,35.85308,-80.17695,49153
1003101,36.11558,-77.07097,163928
1007044,35.914488,-81.593527,115185
1005137,35.389234,-81.172357,81656
1003137,36.189037,-80.287502,32293
1006514,35.77227,-80.82308,95169
1004252,35.511016,-78.429316,58544
1000365,35.95722,-79.93335,105014
1005026,35.29357,-77.71334,31898
1005461,35.43049,-81.35386,45328
1006119,34.32188,-77.99312,147302
1001953,34.79804,-77.53781,70735
1005524,35.9711,-79.0819,12236
1010987,35.598004,-77.427323,33211
1003481,34.79241,-78.90801,83469
1004501,36.363491,-79.840007,73160
1006996,35.757219,-80.560299,85269
1004118,34.985716,-78.461733,533914
1004255,34.985716,-78.461733,29846
1004408,35.682582,-78.844874,110022
1005535,36.4383,-80.5752,45094
1007984,36.323782,-78.832156,70146
1004062,34.670921,-77.348604,164248
1004831,35.3338,-79.96474,82784
1005274,35.291333,-78.069083,23510
1011696,35.661943,-82.996087,57371
1011066,35.78699,-78.57027,11799
1006748,36.207954,-80.986352,54703
